# Export File Created with QBlade CE v2.0.9_beta windows on 12.09.2025 at 14:14:58
[Simulation_12: NREL_MIT_5MW_TLP]
Time [s]	NP Wave Elevation [m]
8.3044701e+01	4.6077216e-01
8.3072189e+01	4.4753268e-01
8.3099678e+01	4.3430862e-01
8.3127167e+01	4.2109919e-01
8.3154655e+01	4.0790361e-01
8.3182144e+01	3.9472193e-01
8.3209633e+01	3.8153791e-01
8.3237122e+01	3.6835438e-01
8.3264610e+01	3.5518053e-01
8.3292099e+01	3.4199783e-01
8.3319588e+01	3.2880884e-01
8.3347076e+01	3.1561700e-01
8.3374565e+01	3.0241320e-01
8.3402054e+01	2.8919703e-01
8.3429543e+01	2.7596343e-01
8.3457031e+01	2.6271108e-01
8.3484520e+01	2.4944645e-01
8.3512016e+01	2.3614725e-01
8.3539505e+01	2.2283097e-01
8.3566994e+01	2.0948608e-01
8.3594482e+01	1.9611511e-01
8.3621971e+01	1.8271373e-01
8.3649460e+01	1.6928282e-01
8.3676949e+01	1.5581925e-01
8.3704437e+01	1.4232473e-01
8.3731926e+01	1.2880187e-01
8.3759415e+01	1.1523902e-01
8.3786903e+01	1.0164883e-01
8.3814392e+01	8.8029690e-02
8.3841881e+01	7.4372798e-02
8.3869370e+01	6.0688373e-02
8.3896858e+01	4.6971589e-02
8.3924347e+01	3.3233605e-02
8.3951836e+01	1.9472444e-02
8.3979332e+01	5.6809708e-03
8.4006821e+01	-8.1250910e-03
8.4034309e+01	-2.1945141e-02
8.4061798e+01	-3.5780046e-02
8.4089287e+01	-4.9624875e-02
8.4116776e+01	-6.3477762e-02
8.4144264e+01	-7.7328302e-02
8.4171753e+01	-9.1182284e-02
8.4199242e+01	-1.0502391e-01
8.4226730e+01	-1.1885248e-01
8.4254219e+01	-1.3265903e-01
8.4281708e+01	-1.4644438e-01
8.4309196e+01	-1.6019814e-01
8.4336685e+01	-1.7392132e-01
8.4364174e+01	-1.8759882e-01
8.4391663e+01	-2.0122537e-01
8.4419151e+01	-2.1479499e-01
8.4446640e+01	-2.2830676e-01
8.4474136e+01	-2.4175519e-01
8.4501625e+01	-2.5511441e-01
8.4529114e+01	-2.6839995e-01
8.4556602e+01	-2.8159624e-01
8.4584091e+01	-2.9468253e-01
8.4611580e+01	-3.0767480e-01
