# Export File Created with QBlade CE v2.0.9_beta windows on 07.09.2025 at 08:25:42
[Conditions_01: NREL_MIT_5MW_TLP]
Time [s]	NP Pitch Y_l [deg]
4.1838474e+01	6.1002541e-02
4.1865963e+01	6.0843866e-02
4.1893452e+01	6.0625158e-02
4.1920940e+01	6.0341872e-02
4.1948429e+01	5.9990190e-02
4.1975918e+01	5.9566900e-02
4.2003410e+01	5.9069172e-02
4.2030899e+01	5.8494460e-02
4.2058388e+01	5.7840638e-02
4.2085876e+01	5.7106264e-02
4.2113365e+01	5.6290824e-02
4.2140854e+01	5.5394847e-02
4.2168343e+01	5.4419853e-02
4.2195831e+01	5.3368218e-02
4.2223320e+01	5.2243069e-02
4.2250813e+01	5.1048148e-02
4.2278301e+01	4.9787678e-02
4.2305790e+01	4.8466258e-02
4.2333279e+01	4.7088750e-02
4.2360767e+01	4.5660198e-02
4.2388256e+01	4.4185694e-02
4.2415745e+01	4.2670216e-02
4.2443233e+01	4.1118417e-02
4.2470722e+01	3.9534494e-02
4.2498215e+01	3.7922267e-02
4.2525703e+01	3.6285367e-02
4.2553192e+01	3.4627523e-02
4.2580681e+01	3.2952819e-02
4.2608170e+01	3.1265873e-02
4.2635658e+01	2.9571980e-02
4.2663147e+01	2.7877105e-02
4.2690636e+01	2.6187664e-02
4.2718128e+01	2.4509987e-02
4.2745617e+01	2.2849623e-02
4.2773106e+01	2.1210747e-02
4.2800594e+01	1.9596042e-02
4.2828083e+01	1.8007100e-02
4.2855572e+01	1.6445169e-02
4.2883060e+01	1.4911820e-02
4.2910549e+01	1.3409204e-02
4.2938038e+01	1.1939816e-02
4.2965530e+01	1.0505967e-02
4.2993019e+01	9.1092754e-03
4.3020508e+01	7.7503910e-03
4.3047997e+01	6.4289728e-03
4.3075485e+01	5.1438101e-03
4.3102974e+01	3.8930152e-03
4.3130463e+01	2.6742849e-03
4.3157951e+01	1.4852453e-03
4.3185440e+01	3.2380075e-04
4.3212933e+01	-8.1164989e-04
4.3240421e+01	-1.9222103e-03
4.3267910e+01	-3.0086425e-03
4.3295399e+01	-4.0715449e-03
4.3322887e+01	-5.1114308e-03
4.3350376e+01	-6.1286502e-03
4.3377865e+01	-7.1231709e-03
4.3405354e+01	-8.0943024e-03
4.3432842e+01	-9.0404628e-03
4.3460335e+01	-9.9591212e-03
4.3487823e+01	-1.0846930e-02
4.3515312e+01	-1.1700062e-02
